t,wx,wy,wz
1.35,-0.0314238,0.0052124,0.0
1.36,-0.0314985,0.005727,0.0
1.37,-0.0315483,0.0062416,0.0
1.3800000000000001,-0.0315732,0.0067645000000000005,0.0
1.3900000000000001,-0.0315732,0.0072874,0.0
1.4000000000000001,-0.03154,0.0078186,0.0
1.41,-0.0314902,0.008349800000000001,0.0
1.42,-0.0314155,0.008881,0.0
1.43,-0.0313076,0.0094122,0.0
1.44,-0.0311748,0.0099434,0.0
1.45,-0.0310088,0.0104829,0.0
1.46,-0.0308262,0.0110141,0.0
1.47,-0.0306021,0.011537,0.0
1.48,-0.0303614,0.0120599,0.0
1.49,-0.0300875,0.0125828,0.0
1.5,-0.029780400000000002,0.013089100000000001,0.0
1.51,-0.0294484,0.0135954,0.0
1.52,-0.0290832,0.0140934,0.0
1.53,-0.0286931,0.0145831,0.0
1.54,-0.0282698,0.0150645,0.0
1.55,-0.027821600000000002,0.015529300000000001,0.0
1.56,-0.0273485,0.0159858,0.0
1.57,-0.0268422,0.0164257,0.0
1.58,-0.026311,0.0168573,0.0
1.59,-0.0257466,0.0172723,0.0
1.6,-0.0251573,0.0176624,0.0
1.61,-0.0245431,0.0180442,0.0
1.62,-0.023904,0.0184094,0.0
1.6300000000000001,-0.0232317,0.018758,0.0
1.6400000000000001,-0.0225428,0.0190817,0.0
1.6500000000000001,-0.021829,0.019380500000000002,0.0
1.6600000000000001,-0.0210903,0.0196627,0.0
1.67,-0.020335,0.01992,0.0
1.68,-0.0195548,0.0201607,0.0
1.69,-0.0187497,0.0203682,0.0
1.7,-0.0179363,0.0205508,0.0
1.71,-0.017098,0.0207168,0.0
1.72,-0.0162514,0.0208496,0.0
1.73,-0.0153799,0.0209575,0.0
1.74,-0.0145001,0.0210322,0.0
1.75,-0.013612,0.021082,0.0
1.76,-0.0127156,0.0211069,0.0
1.77,-0.0118026,0.021098600000000002,0.0
1.78,-0.010889600000000001,0.0210571,0.0
1.79,-0.0099766,0.0209907,0.0
1.8,-0.0090553,0.0208911,0.0
1.81,-0.008134,0.0207583,0.0
1.82,-0.0072127,0.0206006,0.0
1.83,-0.0062914,0.0204014,0.0
1.84,-0.0053784,0.0201856,0.0
1.85,-0.0044737,0.0199283,0.0
1.86,-0.0035773000000000003,0.0196461,0.0
1.87,-0.0026975000000000002,0.0193307,0.0
1.8800000000000001,-0.001826,0.018982100000000002,0.0
1.8900000000000001,-0.0009711,0.0186086,0.0
1.9000000000000001,-0.0001328,0.0182102,0.0
1.9100000000000001,0.0006889,0.017778600000000002,0.0
1.92,0.0014857,0.0173221,0.0
1.93,0.0022576000000000002,0.0168324,0.0
1.94,0.0030046,0.0163178,0.0
1.95,0.0037184,0.0157866,0.0
1.96,0.0044073,0.0152222,0.0
1.97,0.005063,0.0146412,0.0
1.98,0.0056855000000000004,0.0140353,0.0
1.99,0.0062665,0.0134128,0.0
2.0,0.0068143,0.0127654,0.0
2.0100000000000002,0.0073206,0.0121014,0.0
2.02,0.0077937,0.011429100000000001,0.0
2.0300000000000002,0.008217,0.0107402,0.0
2.04,0.0085988,0.0100347,0.0
2.05,0.008930800000000001,0.0093209,0.0
2.06,0.0092213,0.0085988,0.0
2.07,0.009462,0.0078684,0.0
2.08,0.0096529,0.007138,0.0
2.09,0.009794,0.0063993,0.0
2.1,0.0098853,0.0056606,0.0
2.11,0.0099351,0.0049219,0.0
2.12,0.0099185,0.0041915,0.0
2.13,0.0098604,0.0034694,0.0
2.14,0.0097525,0.0027473000000000003,0.0
2.15,0.0095865,0.0020418,0.0
2.16,0.009370700000000001,0.0013446,0.0
2.17,0.0091051,0.000664,0.0
2.18,0.008789700000000001,0.0,0.0
2.19,0.0084245,-0.0006474,0.0
2.2,0.0080178,-0.0012782,0.0
2.21,0.007553,-0.0018758,0.0
2.22,0.0070467,-0.0024568,0.0
2.23,0.0064989,-0.0030046,0.0
2.24,0.0059013,-0.0035275000000000003,0.0
2.25,0.0052705,-0.0040172,0.0
2.2600000000000002,0.0045982,-0.0044737,0.0
2.27,0.0038844,-0.004897,0.0
2.2800000000000002,0.0031457,-0.0052871,0.0
2.29,0.0023655,-0.0056357,0.0
2.3000000000000003,0.0015604,-0.0059511,0.0
2.31,0.0007304,-0.0062167,0.0
2.32,-0.0001245,-0.0064491,0.0
2.33,-0.0010043,-0.00664,0.0
2.34,-0.0018924,-0.0067811,0.0
2.35,-0.0027971,-0.006889,0.0
2.36,-0.0037184,-0.0069471,0.0
2.37,-0.0046397,-0.0069637,0.0
2.38,-0.0055693,-0.0069305,0.0
2.39,-0.0064989,-0.0068558000000000004,0.0
2.4,-0.0074285,-0.0067396,0.0
2.41,-0.0083415,-0.0065736,0.0
2.42,-0.0092462,-0.0063661,0.0
2.43,-0.0101426,-0.0061171,0.0
2.44,-0.0110141,-0.0058266,0.0
2.45,-0.011869000000000001,-0.0054946000000000005,0.0
2.46,-0.012690700000000001,-0.0051211,0.0
2.47,-0.0134875,-0.0047144,0.0
2.48,-0.014251100000000001,-0.0042662,0.0
2.49,-0.0149815,-0.0037931,0.0
2.5,-0.0156704,-0.0032785,0.0
2.5100000000000002,-0.0163178,-0.0027307,0.0
2.52,-0.0169237,-0.002158,0.0
2.5300000000000002,-0.0174715,-0.0015604,0.0
2.54,-0.0179778,-0.0009379,0.0
2.5500000000000003,-0.018426,-0.0002988,0.0
2.56,-0.0188244,0.0003569,0.0
2.57,-0.0191647,0.0010375,0.0
2.58,-0.0194386,0.0017181,0.0
2.59,-0.0196627,0.0024153,0.0
2.6,-0.019820400000000002,0.0031208,0.0
2.61,-0.0199117,0.0038263,0.0
2.62,-0.0199449,0.0045235,0.0
2.63,-0.0199117,0.005229,0.0
2.64,-0.019820400000000002,0.0059179,0.0
2.65,-0.0196627,0.0065985,0.0
2.66,-0.0194386,0.0072625,0.0
2.67,-0.0191564,0.0079182,0.0
2.68,-0.0188161,0.0085407,0.0
2.69,-0.0184094,0.0091466,0.0
2.7,-0.0179529,0.0097276,0.0
2.71,-0.01743,0.0102754,0.0
2.72,-0.0168656,0.0107983,0.0
2.73,-0.0162431,0.0112797,0.0
2.74,-0.0155791,0.0117196,0.0
2.75,-0.0148653,0.0121263,0.0
2.7600000000000002,-0.014110000000000001,0.0124915,0.0
2.77,-0.0133215,0.0128152,0.0
2.7800000000000002,-0.0124998,0.013089100000000001,0.0
2.79,-0.0116449,0.0133132,0.0
2.8000000000000003,-0.0107651,0.0134875,0.0
2.81,-0.0098687,0.0136203,0.0
2.82,-0.0089557,0.013695,0.0
2.83,-0.0080261,0.0137282,0.0
2.84,-0.0070965,0.0137033,0.0
2.85,-0.0061669,0.0136286,0.0
2.86,-0.0052373,0.0135041,0.0
2.87,-0.004316,0.013329800000000001,0.0
2.88,-0.003403,0.0131057,0.0
2.89,-0.0025149,0.0128401,0.0
2.9,-0.0016517,0.0125164,0.0
2.91,-0.0008134,0.0121595,0.0
2.92,-8.3e-06,0.0117528,0.0
2.93,0.0007636,0.0113046,0.0
2.94,0.0014857,0.0108232,0.0
2.95,0.0021746,0.0103003,0.0
2.96,0.0028054,0.0097442,0.0
2.97,0.0033864,0.0091632,0.0
2.98,0.0039093,0.0085573,0.0
2.99,0.0043824,0.0079265,0.0
3.0,0.0047808,0.0072791,0.0
3.0100000000000002,0.0051294,0.0066151000000000005,0.0
3.02,0.0054033,0.0059428,0.0
3.0300000000000002,0.0056108,0.0052622,0.0
3.04,0.0057519,0.0045733,0.0
3.0500000000000003,0.0058266,0.0038927000000000002,0.0
3.06,0.0058266,0.0032121,0.0
3.0700000000000003,0.0057602,0.0025481,0.0
3.08,0.0056191,0.0018924,0.0
3.09,0.0054116,0.0012616,0.0
3.1,0.0051377,0.0006474,0.0
3.11,0.0047974,5.81e-05,0.0
3.12,0.0043907,-0.000498,0.0
3.13,0.0039259,-0.0010209,0.0
3.14,0.0034113,-0.0015106,0.0
3.15,0.0028303,-0.0019588,0.0
3.16,0.0022078,-0.0023655,0.0
3.17,0.0015355,-0.0027307,0.0
3.18,0.0008217,-0.0030461,0.0
3.19,7.47e-05,-0.0033117,0.0
3.2,-0.0007138,-0.0035275000000000003,0.0
3.21,-0.0015189000000000001,-0.0036935,0.0
3.22,-0.0023406,-0.0038014,0.0
3.23,-0.0031789,-0.0038678000000000002,0.0
3.24,-0.0040338,-0.0038761,0.0
3.25,-0.0048804,-0.0038263,0.0
3.2600000000000002,-0.0057353000000000005,-0.0037267,0.0
3.27,-0.0065736,-0.0035773000000000003,0.0
3.2800000000000002,-0.0073953000000000005,-0.0033781,0.0
3.29,-0.0082004,-0.0031374000000000003,0.0
3.3000000000000003,-0.0089806,-0.0028386,0.0
3.31,-0.0097276,-0.0024983,0.0
3.3200000000000003,-0.0104414,-0.0021165,0.0
3.33,-0.0111054,-0.0017015,0.0
3.34,-0.0117279,-0.001245,0.0
3.35,-0.0123006,-0.0007636,0.0
3.36,-0.0128152,-0.0002407,0.0
3.37,-0.0132717,0.0002988,0.0
3.38,-0.013670100000000001,0.0008549,0.0
3.39,-0.0139938,0.0014359,0.0
3.4,-0.0142594,0.0020169,0.0
3.41,-0.0144586,0.0026145,0.0
3.42,-0.0145831,0.0032121,0.0
3.43,-0.0146412,0.0038097,0.0
3.44,-0.0146246,0.004399,0.0
3.45,-0.0145416,0.00498,0.0
3.46,-0.0143839,0.0055444,0.0
3.47,-0.0141598,0.0060922,0.0
3.48,-0.013869300000000001,0.0066151000000000005,0.0
3.49,-0.0135207,0.0071131,0.0
3.5,-0.0131057,0.0075779,0.0
3.5100000000000002,-0.0126326,0.0080012,0.0
3.52,-0.012109700000000001,0.0083913,0.0
3.5300000000000002,-0.011537,0.0087482,0.0
3.54,-0.0109228,0.009047,0.0
3.5500000000000003,-0.0102671,0.0093126,0.0
3.56,-0.009569900000000001,0.0095201,0.0
3.5700000000000003,-0.0088561,0.0096861,0.0
3.58,-0.0081091,0.0098023,0.0
3.59,-0.0073538,0.0098604,0.0
3.6,-0.0065819,0.009877,0.0
3.61,-0.00581,0.0098355,0.0
3.62,-0.0050381,0.0097442,0.0
3.63,-0.0042745,0.0096031,0.0
3.64,-0.0035275000000000003,0.0094122,0.0
3.65,-0.0027971,0.0091715,0.0
3.66,-0.0020999,0.0088976,0.0
3.67,-0.0014276,0.0085739,0.0
3.68,-0.0007968000000000001,0.0082087,0.0
3.69,-0.0002075,0.0078103,0.0
3.7,0.00034030000000000003,0.007387,0.0
3.71,0.00083,0.0069222,0.0
3.72,0.0012616,0.0064408,0.0
3.73,0.0016434,0.0059428,0.0
3.74,0.0019588,0.0054199,0.0
3.75,0.0022078,0.0048887,0.0
3.7600000000000002,0.0023987,0.0043575,0.0
3.77,0.0025149,0.003818,0.0
3.7800000000000002,0.002573,0.0032785,0.0
3.79,0.0025564,0.0027473000000000003,0.0
3.8000000000000003,0.0024734,0.0022327000000000002,0.0
3.81,0.0023323000000000003,0.0017347,0.0
3.8200000000000003,0.0021248,0.0012533,0.0
3.83,0.0018509,0.0007968000000000001,0.0
3.84,0.0015272,0.0003735,0.0
3.85,0.0011371,-2.4900000000000002e-05,0.0
3.86,0.0007055,-0.0003818,0.0
3.87,0.0002241,-0.0007055,0.0
3.88,-0.0002988,-0.0009877,0.0
3.89,-0.0008549,-0.0012201,0.0
3.9,-0.0014442,-0.001411,0.0
3.91,-0.0020584,-0.0015604,0.0
3.92,-0.0026975000000000002,-0.0016517,0.0
3.93,-0.0033449,-0.0017015,0.0
3.94,-0.0040006,-0.0017015,0.0
3.95,-0.0046563,-0.00166,0.0
3.96,-0.0053037,-0.0015687000000000001,0.0
3.97,-0.0059511,-0.0014276,0.0
3.98,-0.0065653000000000005,-0.001245,0.0
3.99,-0.0071629,-0.0010209,0.0
4.0,-0.0077356000000000005,-0.0007553,0.0
4.01,-0.0082668,-0.0004565,0.0
4.0200000000000005,-0.0087648,-0.0001245,0.0
4.03,-0.0092213,0.0002407,0.0
4.04,-0.0096197,0.0006225,0.0
4.05,-0.0099683,0.0010375,0.0
4.0600000000000005,-0.0102671,0.0014608,0.0
4.07,-0.0105078,0.0019007,0.0
4.08,-0.010690400000000001,0.0023572,0.0
4.09,-0.0108066,0.0028054,0.0
4.1,-0.0108647,0.0032619,0.0
4.11,-0.0108647,0.0037101,0.0
4.12,-0.0108149,0.00415,0.0
4.13,-0.010707,0.0045733,0.0
4.14,-0.010541,0.00498,0.0
4.15,-0.0103252,0.0053701,0.0
4.16,-0.0100679,0.005727,0.0
4.17,-0.0097525,0.006059,0.0
4.18,-0.0094039,0.0063661,0.0
4.19,-0.0090138,0.0066234,0.0
4.2,-0.008590500000000001,0.0068558000000000004,0.0
4.21,-0.008134,0.0070467,0.0
4.22,-0.0076526,0.0071878,0.0
4.23,-0.0071546000000000005,0.0072957000000000004,0.0
4.24,-0.00664,0.0073538,0.0
4.25,-0.0061171,0.0073704,0.0
4.26,-0.0055942,0.0073455000000000005,0.0
4.2700000000000005,-0.0050713,0.0072708,0.0
4.28,-0.0045567,0.0071629,0.0
4.29,-0.0040504,0.0070135,0.0
4.3,-0.003569,0.0068226,0.0
4.3100000000000005,-0.0031042,0.0065902,0.0
4.32,-0.0026726000000000002,0.0063329,0.0
4.33,-0.0022659,0.0060424,0.0
4.34,-0.0019007,0.005727,0.0
4.3500000000000005,-0.001577,0.0053784,0.0
4.36,-0.0012948,0.0050215,0.0
4.37,-0.0010624,0.004648,0.0
4.38,-0.0008715,0.0042579,0.0
4.39,-0.0007304,0.0038678000000000002,0.0
4.4,-0.0006391,0.0034694,0.0
4.41,-0.0006059,0.003071,0.0
4.42,-0.0006142,0.0026809,0.0
4.43,-0.0006806000000000001,0.0023074000000000002,0.0
4.44,-0.0007885,0.0019422,0.0
4.45,-0.0009462,0.0015936000000000001,0.0
4.46,-0.0011537000000000001,0.0012782,0.0
4.47,-0.0014027,0.0009794,0.0
4.48,-0.0016849,0.0007055,0.0
4.49,-0.0020003,0.0004731,0.0
4.5,-0.0023572,0.0002739,0.0
4.51,-0.0027307,9.960000000000001e-05,0.0
4.5200000000000005,-0.0031291,-2.4900000000000002e-05,0.0
4.53,-0.0035441,-0.0001162,0.0
4.54,-0.0039674,-0.0001743,0.0
4.55,-0.0044073,-0.0001826,0.0
4.5600000000000005,-0.0048389,-0.0001577,0.0
4.57,-0.0052705,-9.960000000000001e-05,0.0
4.58,-0.0056938,0.0,0.0
4.59,-0.0061005,0.00014110000000000001,0.0
4.6000000000000005,-0.0064906,0.0003071,0.0
4.61,-0.0068641,0.0005063,0.0
4.62,-0.0072044000000000006,0.0007304,0.0
4.63,-0.0075198,0.0009794,0.0
4.64,-0.007802,0.0012533,0.0
4.65,-0.0080427,0.0015438000000000001,0.0
4.66,-0.008250200000000001,0.0018426,0.0
4.67,-0.0084079,0.002158,0.0
4.68,-0.0085324,0.0024817,0.0
4.69,-0.0086154,0.0028054,0.0
4.7,-0.0086569,0.0031291,0.0
4.71,-0.0086486,0.0034528000000000002,0.0
4.72,-0.0085988,0.0037599,0.0
4.73,-0.0085158,0.0040587,0.0
4.74,-0.008383,0.0043409,0.0
4.75,-0.0082253,0.0046065,0.0
4.76,-0.0080261,0.0048555000000000004,0.0
4.7700000000000005,-0.0077937,0.0050713,0.0
4.78,-0.0075364,0.0052705,0.0
4.79,-0.0072542,0.0054365,0.0
4.8,-0.0069471,0.0055693,0.0
4.8100000000000005,-0.0066317,0.0056772,0.0
4.82,-0.0062914,0.0057519,0.0
4.83,-0.0059511,0.0058017,0.0
4.84,-0.0056025,0.00581,0.0
4.8500000000000005,-0.0052539,0.0057934,0.0
4.86,-0.0049053000000000005,0.0057519,0.0
4.87,-0.0045733,0.0056689,0.0
4.88,-0.0042413,0.0055693,0.0
4.89,-0.0039342,0.0054365,0.0
4.9,-0.0036354,0.0052788,0.0
4.91,-0.0033698,0.0050962,0.0
4.92,-0.0031208,0.0049053000000000005,0.0
4.93,-0.002905,0.0046895,0.0
4.94,-0.0027141,0.0044654000000000004,0.0
4.95,-0.0025481,0.0042247000000000005,0.0
4.96,-0.0024236,0.0039757,0.0
4.97,-0.002324,0.0037267,0.0
4.98,-0.0022659,0.0034777000000000002,0.0
4.99,-0.0022327000000000002,0.0032204,0.0
5.0,-0.002241,0.0029797,0.0
5.01,-0.0022742,0.0027556,0.0
5.0200000000000005,-0.0023406,0.0025564,0.0
5.03,-0.0024402,0.0023738,0.0
5.04,-0.0025647,0.0022078,0.0
5.05,-0.0027224000000000003,0.002075,0.0
5.0600000000000005,-0.0028967,0.0019588,0.0
5.07,-0.0030959,0.0018758,0.0
5.08,-0.0033117,0.0018177,0.0
5.09,-0.0035441,0.0017845,0.0
5.1000000000000005,-0.0037931,0.0017762000000000001,0.0
5.11,-0.0040587,0.0018011000000000001,0.0
5.12,-0.0043243,0.0018509,0.0
5.13,-0.0045982,0.0019173,0.0
5.14,-0.0048721,0.0020169,0.0
5.15,-0.005146,0.0021331,0.0
5.16,-0.0054116,0.0022742,0.0
5.17,-0.0056772,0.0024319,0.0
5.18,-0.0059262,0.0026062,0.0
5.19,-0.0061669,0.0027971,0.0
5.2,-0.006391,0.0029963,0.0
5.21,-0.0065985,0.0032038,0.0
5.22,-0.0067894,0.0034279000000000002,0.0
5.23,-0.0069637,0.003652,0.0
5.24,-0.0071048000000000005,0.0038761,0.0
5.25,-0.0072293,0.0041002,0.0
5.26,-0.0073289,0.0043326,0.0
5.2700000000000005,-0.0074036,0.0045484,0.0
5.28,-0.0074617,0.0047642,0.0
5.29,-0.0074866,0.0049634,0.0
5.3,-0.0074866,0.0051626,0.0
5.3100000000000005,-0.0074617,0.0053369,0.0
5.32,-0.0074119,0.0055029,0.0
5.33,-0.0073372,0.0056523,0.0
5.34,-0.0072459,0.0057851000000000005,0.0
5.3500000000000005,-0.007138,0.0059013,0.0
5.36,-0.0070052000000000005,0.0059926,0.0
5.37,-0.0068558000000000004,0.0060673,0.0
5.38,-0.0066898,0.0061171,0.0
5.39,-0.0065155000000000005,0.0061503,0.0
5.4,-0.0063329,0.0061669,0.0
5.41,-0.0061337,0.0061586,0.0
5.42,-0.0059345000000000005,0.0061254000000000005,0.0
5.43,-0.005727,0.0060839,0.0
5.44,-0.0055195,0.0060175,0.0
5.45,-0.005312,0.0059345000000000005,0.0
5.46,-0.0051128,0.0058349000000000005,0.0
5.47,-0.0049136,0.0057187,0.0
5.48,-0.0047227,0.0055942,0.0
5.49,-0.0045401,0.0054531,0.0
5.5,-0.0043658,0.0053037,0.0
5.51,-0.0042081,0.005146,0.0
5.5200000000000005,-0.0040587,0.00498,0.0
5.53,-0.0039342,0.004814,0.0
5.54,-0.003818,0.004648,0.0
5.55,-0.0037184,0.0044737,0.0
5.5600000000000005,-0.0036437,0.0042994,0.0
5.57,-0.0035856,0.0041334,0.0
5.58,-0.0035441,0.0039674,0.0
5.59,-0.0035192,0.0038097,0.0
5.6000000000000005,-0.0035192,0.0036603,0.0
5.61,-0.0035358,0.0035275000000000003,0.0
5.62,-0.003569,0.0033947,0.0
5.63,-0.0036271,0.0032785,0.0
5.64,-0.0036935,0.0031706,0.0
5.65,-0.0037848,0.0030793,0.0
5.66,-0.0038844,0.0030046,0.0
5.67,-0.0040006,0.0029382,0.0
5.68,-0.0041334,0.0028967,0.0
5.69,-0.0042745,0.0028635,0.0
5.7,-0.0044239,0.0028469,0.0
5.71,-0.0045733,0.0028469,0.0
5.72,-0.0047393,0.0028635,0.0
5.73,-0.0049053000000000005,0.0028967,0.0
5.74,-0.0050796,0.0029465,0.0
5.75,-0.0052539,0.0030046,0.0
5.76,-0.0054199,0.0030793,0.0
5.7700000000000005,-0.0055942,0.0031623000000000003,0.0
5.78,-0.0057519,0.0032619,0.0
5.79,-0.0059179,0.0033698,0.0
5.8,-0.0060673,0.003486,0.0
5.8100000000000005,-0.0062167,0.0036105,0.0
5.82,-0.0063495,0.003735,0.0
5.83,-0.006474,0.0038761,0.0
5.84,-0.0065902,0.0040089,0.0
5.8500000000000005,-0.0066898,0.00415,0.0
5.86,-0.0067728,0.0042911,0.0
5.87,-0.0068475,0.0044405,0.0
5.88,-0.0069056000000000005,0.0045733,0.0
5.89,-0.0069554000000000005,0.0047144,0.0
5.9,-0.0069803,0.0048472,0.0
5.91,-0.0069969,0.0049717,0.0
5.92,-0.0069969,0.0050879,0.0
5.93,-0.0069886,0.0052124,0.0
5.94,-0.0069637,0.0053369,0.0
5.95,-0.0069305,0.0054614,0.0
5.96,-0.006889,0.0055776,0.0
5.97,-0.0068392,0.0056938,0.0
5.98,-0.0067811,0.00581,0.0
5.99,-0.0067147000000000005,0.0059179,0.0
6.0,-0.00664,0.0060175,0.0
6.01,-0.006557,0.0061171,0.0
6.0200000000000005,-0.0064657000000000004,0.0062001,0.0
6.03,-0.0063744000000000006,0.0062831,0.0
6.04,-0.0062831,0.0063578,0.0
6.05,-0.0061835,0.0064159,0.0
6.0600000000000005,-0.0060922,0.0064657000000000004,0.0
6.07,-0.0059926,0.0065155000000000005,0.0
6.08,-0.005893,0.0065487,0.0
6.09,-0.0058017,0.0065653000000000005,0.0
6.1000000000000005,-0.0057104,0.0065819,0.0
6.11,-0.0056191,0.0065819,0.0
6.12,-0.0055361,0.0065736,0.0
6.13,-0.0054531,0.006557,0.0
6.140000000000001,-0.0053784,0.0065238,0.0
6.15,-0.005312,0.0064906,0.0
6.16,-0.0052539,0.0064491,0.0
6.17,-0.0051958,0.006391,0.0
6.18,-0.0051543,0.0063329,0.0
6.19,-0.0051211,0.0062665,0.0
6.2,-0.0050879,0.0061918,0.0
6.21,-0.0050713,0.0061171,0.0
6.22,-0.005063,0.0060424,0.0
6.23,-0.005063,0.0059511,0.0
6.24,-0.0050713,0.0058681,0.0
6.25,-0.0050879,0.0057851000000000005,0.0
6.26,-0.0051128,0.0056938,0.0
6.2700000000000005,-0.005146,0.0056025,0.0
6.28,-0.0051875,0.0055195,0.0
6.29,-0.0052373,0.0054365,0.0
6.3,-0.0052871,0.0053535,0.0
6.3100000000000005,-0.0053535,0.0052788,0.0
6.32,-0.0054199,0.0052041,0.0
